ad_id,value
ad_410,Ascenseur
ad_410,Digicode
ad_410,Interphone
ad_410,Gardien
ad_580,73 m²
ad_580,4 pièces
ad_580,2 chambres
ad_580,Balcon
ad_580,Chauffage : collectif
ad_580,1 salle d’eau
ad_580,1 WC
ad_580,Fibre : déployée*
ad_580,7e étage (sur 9)
ad_580,Ascenseur
ad_580,Digicode
ad_580,Interphone
ad_702,18 m²
ad_702,2 pièces
ad_702,1 chambre
ad_702,Chauffage : électricité 
ad_702,Dernier étage (sur 6)
ad_239,"53,16 m²"
ad_239,3 pièces
ad_239,2 chambres
ad_239,Exposé Sud Ouest
ad_239,1 salle d’eau
ad_239,1 WC
ad_239,Fibre : déployée*
ad_239,Calme
ad_239,Dernier étage (sur 4)
ad_239,Construit en 1910
ad_239,Digicode
ad_239,Interphone
ad_239,Gardien
ad_23,81 m²
ad_23,5 pièces
ad_23,3 chambres
ad_23,Chauffage : collectif
ad_23,Cave
ad_23,1 salle d’eau
ad_23,1 WC
ad_23,Fibre : déployée*
ad_23,1er étage
ad_2056,42 m²
ad_2056,3 pièces
ad_2056,1 chambre
ad_2056,Exposé Est Ouest
ad_2056,Chauffage : Radiateur 
ad_2056,4e étage (sur 7)
ad_2056,Ascenseur
ad_2056,Digicode
ad_2056,Interphone
ad_2011,34 m²
ad_2011,2 pièces
ad_2011,1 chambre
ad_2011,Cave
ad_2011,1 salle de bain
ad_2011,1 WC
ad_2011,Fibre : déployée*
ad_2011,Calme
ad_2011,3e étage (sur 5)
ad_2011,Construit en 1890
ad_2011,Digicode
ad_666,63 m²
ad_666,3 pièces
ad_666,1 chambre
ad_666,Exposé Sud
ad_666,Cave
ad_666,1 salle de bain
ad_666,1 WC
ad_666,Fibre : déployée*
ad_666,Rez-de-chaussée
ad_666,Ascenseur
ad_1578,"25,15 m²"
ad_1578,1 pièce
ad_1578,1 salle d’eau
ad_1578,1 WC
ad_1578,Fibre : déployée*
ad_1578,Calme
ad_1578,Dernier étage (sur 7)
ad_1578,Construit en 1932
ad_1578,Ascenseur
ad_1578,Digicode
ad_1578,Interphone
ad_296,71 m²
ad_296,3 pièces
ad_296,1 chambre
